total_points,total_duration,difficulty_1,difficulty_2,difficulty_3,valid
10,39,39,29,6,0
21,30,37,43,0,0
24,16,5,22,21,0
3,24,16,34,30,0
15,49,12,28,27,0
17,38,23,37,15,1
6,6,14,8,29,0
21,48,10,48,28,0
2,26,36,60,12,0
11,49,37,24,1,0
12,36,36,28,7,0
8,11,14,26,15,1
4,51,0,10,30,0
7,20,15,49,22,0
25,10,35,23,9,0
10,8,10,32,25,0
1,27,13,35,20,1
4,31,26,2,22,0
13,44,3,57,9,0
13,43,9,36,4,1
13,20,18,20,27,0
12,11,15,34,26,0
7,4,24,52,10,0
16,4,30,45,26,0
4,8,29,37,4,1
24,25,17,3,30,0
11,40,12,1,25,0
11,39,40,36,24,0
29,55,19,40,25,0
6,48,19,24,24,0
24,42,36,48,13,0
28,31,28,41,9,0
17,37,25,4,2,1
1,15,30,6,5,1
17,40,15,39,17,1
23,5,1,58,13,0
24,40,33,39,12,0
1,35,28,27,10,1
22,53,14,22,17,0
25,31,9,42,30,0
27,37,30,42,25,0
29,53,17,40,22,0
2,50,10,43,5,0
10,55,12,45,13,0
12,30,0,8,18,1
24,33,17,11,29,0
0,1,32,38,13,0
22,24,1,37,30,0
19,34,29,22,15,1
21,31,7,23,17,0
6,42,21,49,12,1
0,42,7,19,25,0
26,42,21,18,27,0
24,34,23,57,27,0
16,53,0,6,22,0
10,9,15,19,21,0
9,15,38,54,6,0
10,50,26,46,19,0
6,37,13,44,20,1
27,15,24,53,9,0
16,21,38,38,14,0
20,0,35,27,1,0
0,16,19,3,29,0
10,51,2,25,24,0
23,26,30,57,22,0
3,50,35,20,8,0
23,6,6,7,22,0
26,52,11,47,23,0
8,5,5,40,28,0
19,24,18,52,1,0
10,48,32,3,14,0
23,26,21,10,15,0
26,0,39,9,2,0
9,8,2,20,24,0
12,26,14,31,7,1
3,29,3,42,30,0
22,25,28,42,1,0
23,30,1,45,20,0
11,54,25,56,21,0
3,31,39,52,6,0
1,12,1,29,15,1
12,26,26,34,30,0
2,19,8,32,23,0
13,37,13,59,1,0
30,21,2,53,19,0
22,38,25,27,20,0
27,45,20,6,14,0
3,33,31,23,8,0
27,0,25,37,19,0
22,51,38,15,1,0
0,35,33,45,6,0
27,22,25,54,1,0
17,30,26,5,24,0
19,13,14,45,19,1
1,25,35,56,15,0
4,55,37,37,3,0
24,48,37,13,19,0
27,13,32,0,14,0
30,10,24,10,16,0
0,18,40,38,5,0
20,50,9,32,18,0
9,44,29,4,20,1
30,44,3,41,20,0
21,15,37,45,8,0
15,10,33,31,30,0
12,30,30,27,13,1
19,55,28,58,6,0
30,43,20,2,7,0
14,50,21,31,18,0
0,33,21,57,21,0
5,47,3,31,7,0
12,31,12,21,7,1
8,16,33,12,2,0
21,48,9,7,17,0
18,31,6,56,15,0
26,53,8,1,27,0
10,29,6,48,30,0
17,44,29,14,9,1
18,22,29,22,26,0
25,46,31,13,15,0
15,24,4,53,29,0
5,45,5,24,27,0
4,4,1,35,26,0
7,51,36,5,7,0
8,31,7,26,25,0
27,53,15,4,30,0
26,33,4,39,26,0
25,35,22,59,5,0
24,4,33,32,15,0
30,8,30,7,10,0
13,25,0,48,27,0
27,27,37,36,0,0
30,53,19,39,8,0
21,48,17,48,8,0
16,2,25,58,6,0
10,4,0,31,3,1
26,24,34,1,4,0
3,46,12,49,29,0
23,5,2,39,28,0
26,15,27,26,28,0
24,43,37,43,22,0
18,9,27,46,26,0
11,31,22,50,15,1
6,17,17,56,13,0
27,18,29,1,16,0
6,27,26,40,14,1
28,53,21,11,22,0
25,55,30,29,6,0
11,33,3,51,29,0
18,9,13,52,0,0
30,0,4,35,5,0
3,17,19,4,12,1
22,34,25,22,21,0
1,34,28,16,5,1
23,14,32,41,18,0
19,49,24,41,8,0
3,18,9,54,27,0
11,32,28,58,10,0
18,17,36,51,3,0
10,11,8,54,5,0
14,48,36,28,14,0
11,36,29,47,21,0
23,47,19,51,8,0
20,52,13,49,15,0
7,7,17,5,11,1
12,15,33,60,7,0
28,47,25,51,19,0
11,16,4,4,22,0
9,17,27,3,8,1
16,0,27,4,6,1
17,38,25,24,21,0
15,40,34,58,4,0
14,35,14,19,10,1
27,9,15,26,1,0
19,26,31,56,1,0
13,45,11,56,19,0
27,5,28,56,25,0
3,55,24,52,15,0
26,31,34,26,19,0
27,22,25,50,20,0
15,18,3,45,30,0
27,53,38,52,27,0
14,11,7,22,10,1
25,41,2,5,16,0
9,13,29,11,17,1
8,35,11,60,28,0
6,47,22,7,8,0
7,54,10,52,3,0
24,32,11,37,19,0
27,10,18,29,12,0
16,47,38,23,1,0
18,44,34,47,14,0
27,4,11,9,25,0
24,41,4,47,0,0
26,54,4,34,15,0
17,10,15,37,9,1
16,24,9,51,10,0
25,8,11,59,21,0
27,39,35,47,27,0
18,5,33,43,11,0
30,21,9,27,7,0
12,3,19,0,14,1
25,55,4,34,5,0
26,15,12,49,23,0
10,29,39,5,13,0
0,45,11,59,9,0
0,8,12,11,18,1
24,15,0,40,9,0
8,20,3,56,29,0
10,55,11,60,3,0
29,55,5,44,20,0
30,44,1,10,5,0
6,46,6,8,9,0
24,21,9,22,28,0
30,4,7,32,10,0
0,4,10,21,30,0
22,11,35,2,30,0
13,41,20,31,14,1
20,15,5,24,12,1
19,45,15,43,20,1
4,53,9,55,1,0
19,10,10,23,26,0
12,4,15,34,4,1
25,42,5,13,2,0
27,36,38,48,7,0
15,8,26,36,0,1
1,43,5,58,1,0
25,13,29,35,17,0
30,10,6,58,0,0
17,13,32,32,28,0
0,6,25,11,24,0
13,24,5,39,21,0
12,53,21,38,1,0
17,17,40,49,27,0
12,11,3,20,13,1
19,21,19,24,10,1
23,9,33,0,16,0
0,7,2,5,28,0
19,11,11,10,5,1
28,25,0,37,16,0
7,31,24,45,16,1
6,10,34,24,14,0
28,16,19,44,12,0
11,28,13,40,11,1
10,45,31,32,26,0
19,36,12,30,23,0
8,5,8,4,24,0
20,1,10,20,16,1
23,16,0,46,20,0
24,49,33,38,8,0
12,48,34,46,11,0
7,23,10,0,15,1
15,10,6,11,30,0
23,20,9,23,24,0
22,19,5,20,16,0
1,11,5,56,9,0
20,43,10,15,1,1
6,8,2,45,9,1
23,14,34,8,19,0
16,38,28,50,3,1
3,40,37,15,14,0
30,36,21,30,22,0
26,31,28,18,6,0
23,9,39,58,14,0
21,40,39,7,12,0
16,11,9,40,8,1
25,26,36,51,14,0
9,18,39,4,2,0
13,37,10,10,28,0
3,20,32,53,22,0
9,24,39,18,15,0
28,52,25,12,4,0
9,25,6,56,8,0
14,11,29,13,4,1
12,42,0,42,30,0
8,21,1,8,7,1
15,38,30,48,26,0
6,17,9,56,19,0
15,52,17,34,24,0
15,22,2,48,15,1
8,40,39,18,1,0
26,30,23,48,16,0
1,37,17,19,21,0
10,14,33,53,28,0
10,37,17,35,26,0
11,50,22,42,16,0
18,39,19,46,10,1
9,37,29,3,27,0
8,46,5,2,29,0
8,22,40,8,1,0
7,39,26,49,10,1
21,31,15,56,9,0
6,53,3,40,14,0
19,33,13,52,1,0
29,6,11,57,25,0
24,7,35,37,15,0
11,36,14,27,16,1
10,34,22,45,25,0
27,22,1,51,20,0
17,36,19,32,4,1
0,4,24,57,25,0
24,37,11,60,14,0
11,1,31,42,14,0
23,47,29,10,11,0
26,3,38,31,26,0
26,11,32,25,25,0
12,26,8,2,30,0
8,10,19,25,3,1
1,19,30,47,3,1
12,54,2,10,3,0
15,51,10,53,9,0
26,10,34,40,21,0
24,27,37,37,17,0
17,32,1,43,11,1
25,25,17,16,8,0
4,30,27,9,21,0
16,15,4,41,7,1
28,26,38,26,11,0
15,31,1,20,24,0
22,53,37,43,11,0
28,3,0,36,28,0
11,35,32,17,28,0
2,55,4,17,0,0
7,21,30,4,5,1
11,53,33,15,15,0
18,36,1,3,22,0
10,38,1,44,5,1
18,37,30,9,6,1
9,18,23,53,11,0
23,21,35,56,2,0
1,10,0,4,28,0
17,9,15,52,22,0
4,6,18,57,27,0
15,4,20,11,16,1
12,13,9,59,7,0
20,43,4,26,22,0
18,12,30,49,24,0
5,15,27,13,29,0
0,49,9,12,23,0
12,0,12,15,27,0
9,7,21,22,9,1
26,51,18,14,3,0
28,6,23,17,7,0
29,17,36,32,8,0
4,25,27,2,13,1
14,51,15,9,22,0
15,13,39,15,2,0
0,21,5,36,0,1
18,49,29,4,9,0
6,47,29,54,21,0
22,24,24,38,10,0
14,22,36,43,19,0
0,46,21,50,8,0
26,49,35,55,4,0
8,17,33,46,23,0
17,53,27,58,22,0
13,15,27,33,20,1
18,19,39,12,0,0
22,14,19,18,8,0
18,30,35,11,3,0
9,27,22,42,7,1
21,1,2,10,4,0
16,19,5,15,18,1
11,19,2,4,28,0
16,28,35,10,0,0
13,19,31,19,7,0
3,41,37,41,2,0
8,34,31,45,18,0
0,49,25,19,3,0
0,45,2,38,8,1
14,49,27,57,14,0
17,41,14,24,7,1
6,34,18,28,1,1
18,1,15,51,23,0
17,17,28,27,7,1
6,48,15,37,24,0
21,20,35,3,25,0
16,55,13,39,22,0
18,17,25,12,19,1
22,6,12,56,3,0
12,12,1,28,1,1
11,26,37,19,4,0
23,39,35,36,20,0
21,20,19,39,16,0
24,0,11,56,11,0
8,16,34,22,18,0
30,32,11,56,11,0
13,15,7,59,10,0
29,11,11,10,21,0
16,38,35,11,11,0
21,46,19,59,25,0
6,12,4,27,1,1
5,42,8,47,2,1
12,44,0,52,21,0
23,9,6,41,29,0
28,2,26,37,2,0
27,29,25,3,13,0
10,35,21,12,21,0
12,4,29,27,29,0
20,13,27,17,23,0
4,25,28,14,20,1
24,4,22,45,23,0
0,55,16,40,14,0
30,12,30,45,24,0
11,34,17,37,7,1
22,28,24,20,25,0
6,19,28,10,11,1
22,7,23,24,28,0
6,52,19,50,18,0
27,41,13,29,18,0
29,1,37,44,18,0
1,17,38,22,4,0
1,44,5,30,17,1
23,2,30,16,21,0
13,3,24,56,21,0
20,2,18,30,15,1
14,36,5,58,4,0
3,48,29,38,17,0
1,26,25,17,11,1
12,33,33,12,2,0
18,15,2,49,16,1
25,23,22,17,12,0
2,37,10,10,29,0
21,41,7,13,22,0
13,20,28,38,27,0
5,6,38,31,8,0
28,1,8,54,9,0
30,47,26,50,8,0
22,53,17,50,2,0
1,36,7,44,21,0
21,33,6,35,8,0
4,54,40,15,16,0
25,39,8,60,29,0
28,48,34,9,18,0
21,19,2,17,30,0
23,50,1,5,22,0
9,40,6,19,8,1
10,33,5,34,8,1
17,22,6,59,14,0
13,43,19,41,8,1
24,12,3,13,14,0
18,29,31,48,8,0
21,28,18,5,30,0
23,29,4,2,24,0
21,50,10,7,8,0
23,23,26,2,15,0
22,47,38,33,9,0
6,48,5,6,30,0
0,50,11,54,0,0
10,36,15,26,14,1
22,2,31,43,18,0
12,39,1,23,17,1
19,8,35,10,0,0
5,47,39,44,11,0
6,43,10,58,28,0
6,37,25,17,27,0
23,26,33,21,8,0
20,2,38,43,8,0
9,31,1,20,26,0
16,31,20,17,28,0
7,46,25,2,5,0
15,33,37,1,2,0
1,38,38,43,17,0
20,48,7,51,18,0
25,8,33,13,6,0
10,49,31,7,6,0
26,31,31,29,24,0
16,24,15,15,18,1
7,33,29,40,13,1
4,42,39,29,22,0
7,25,8,7,8,1
1,20,40,11,3,0
5,50,8,37,28,0
29,15,33,35,29,0
10,2,35,27,16,0
20,11,6,53,7,0
22,27,36,34,14,0
15,14,17,36,4,1
25,51,4,42,21,0
9,16,7,59,20,0
9,37,19,27,12,1
21,47,20,26,26,0
18,1,13,30,11,1
17,31,14,8,14,1
28,3,6,43,5,0
10,47,7,23,22,0
29,0,17,22,18,0
7,33,35,60,23,0
11,49,20,45,2,0
27,8,24,10,9,0
4,42,24,17,9,1
29,14,4,3,4,0
10,38,36,6,11,0
6,44,22,54,6,0
24,48,33,4,13,0
5,34,20,32,11,1
0,5,12,43,10,1
19,37,3,37,6,1
14,34,5,42,18,1
15,33,38,6,23,0
18,42,28,53,24,0
29,30,39,60,0,0
19,55,13,8,18,0
6,21,16,31,11,1
3,55,31,5,28,0
25,48,14,54,9,0
6,55,26,19,15,0
28,30,6,2,14,0
12,41,4,57,8,0
8,54,10,40,4,0
14,33,16,19,5,1
23,55,26,15,4,0
16,35,9,27,2,1
22,17,13,58,16,0
22,35,19,20,25,0
30,19,22,60,21,0
20,3,40,4,27,0
20,4,2,16,6,1
21,21,36,19,29,0
12,38,18,32,3,1
17,8,3,21,29,0
30,44,11,11,23,0
9,28,35,30,19,0
7,51,38,48,6,0
29,0,20,39,9,0
30,47,11,48,19,0
9,21,29,58,9,0
19,52,2,35,8,0
20,14,22,9,11,1
19,4,32,37,20,0
29,42,12,44,11,0
27,52,17,10,23,0
22,52,5,8,9,0
26,32,32,21,19,0
22,11,34,15,10,0
24,9,24,32,17,0
0,23,21,27,30,0
17,48,2,26,24,0
0,1,36,48,3,0
13,22,35,18,27,0
8,15,2,7,11,1
28,21,12,38,9,0
15,51,20,46,21,0
5,36,20,56,24,0
27,43,28,1,27,0
27,0,10,56,18,0
0,6,30,49,20,1
10,15,0,38,11,1
3,15,19,39,6,1
6,0,2,43,17,1
12,19,26,40,9,1
22,22,36,40,6,0
10,52,25,40,17,0
25,32,2,38,4,0
26,40,19,23,11,0
24,31,31,1,5,0
0,30,15,58,13,0
18,18,39,9,30,0
24,41,0,37,14,0
27,27,38,48,8,0
9,0,26,12,23,0
1,1,29,46,12,1
1,31,16,51,27,0
7,21,40,20,13,0
10,12,28,15,18,1
18,0,1,20,27,0
18,6,4,33,18,1
16,1,10,0,7,1
12,20,6,57,30,0
13,10,8,59,12,0
27,6,31,19,0,0
11,27,38,29,16,0
10,11,36,26,4,0
22,12,25,5,29,0
1,38,17,36,24,0
14,5,13,36,0,1
4,28,34,0,4,0
6,12,6,24,14,1
4,54,2,7,2,0
30,51,25,46,5,0
6,12,2,51,0,0
17,12,2,4,26,0
24,1,10,8,12,0
19,0,28,31,8,1
9,55,32,39,29,0
10,34,8,57,15,0
20,42,30,43,13,1
5,6,14,42,27,0
14,30,24,43,30,0
9,20,29,53,20,0
15,46,6,27,19,0
13,3,31,0,7,0
14,48,40,43,2,0
12,55,14,18,26,0
17,25,37,30,27,0
28,38,40,4,1,0
20,3,0,55,10,0
5,51,40,15,15,0
6,42,34,18,14,0
18,2,28,47,13,1
21,9,29,4,13,0
18,28,30,6,19,1
16,26,37,12,6,0
29,12,25,51,20,0
29,10,4,8,19,0
12,2,35,16,0,0
4,22,22,11,7,1
25,25,16,15,1,0
30,23,33,38,27,0
6,43,34,53,11,0
15,30,8,30,0,1
7,5,6,58,1,0
10,4,28,0,7,1
30,8,1,36,0,0
7,3,7,58,19,0
29,0,7,37,2,0
2,10,37,50,30,0
26,17,8,3,5,0
23,4,14,18,30,0
30,41,7,40,26,0
5,26,7,50,29,0
0,21,1,52,28,0
17,42,27,50,25,0
1,3,17,19,0,1
10,29,23,51,14,0
9,50,40,32,27,0
17,36,37,26,14,0
4,5,17,60,15,0
6,20,17,22,0,1
25,21,40,7,20,0
2,1,24,4,12,1
20,29,3,7,26,0
0,1,17,12,12,1
12,17,28,16,5,1
25,23,9,7,20,0
24,37,30,15,23,0
4,31,18,6,28,0
6,30,21,42,30,0
30,53,2,18,26,0
7,40,2,50,4,1
6,54,5,16,3,0
19,47,20,7,7,0
23,51,13,48,14,0
1,53,4,14,25,0
2,20,23,59,8,0
0,43,25,0,24,0
19,51,25,48,15,0
18,55,1,9,19,0
7,34,18,22,14,1
1,53,20,7,16,0
18,0,13,54,18,0
30,6,33,58,2,0
2,14,3,59,30,0
9,29,36,2,26,0
25,44,10,30,26,0
4,29,8,24,0,1
28,33,17,24,15,0
28,11,23,23,25,0
20,15,40,13,19,0
30,53,22,7,23,0
25,53,15,12,10,0
14,29,5,10,13,1
0,2,0,58,16,0
13,21,40,22,29,0
2,11,27,17,9,1
15,37,31,3,8,0
24,29,22,40,8,0
18,32,5,29,23,0
20,32,31,56,17,0
14,8,1,23,16,1
5,36,30,23,19,1
25,31,1,52,21,0
28,25,32,5,26,0
12,55,4,37,23,0
1,7,27,41,26,0
23,45,15,18,28,0
26,7,35,19,26,0
19,49,14,20,1,0
29,28,27,26,1,0
21,46,4,4,2,0
19,47,21,30,23,0
28,55,3,18,29,0
6,32,37,24,22,0
17,22,40,57,0,0
29,5,39,22,26,0
4,15,21,23,19,1
24,3,0,5,29,0
17,37,21,25,13,1
8,40,30,34,21,0
30,19,10,8,6,0
29,48,5,13,11,0
8,50,38,39,30,0
24,17,34,23,20,0
29,15,6,40,16,0
20,11,23,18,7,1
9,7,31,2,8,0
16,1,13,36,4,1
26,54,7,60,28,0
25,15,26,44,28,0
2,55,14,15,25,0
14,16,27,30,12,1
26,47,39,37,1,0
13,52,8,20,5,0
2,14,2,21,12,1
4,44,39,30,9,0
27,3,20,22,27,0
12,15,8,59,10,0
20,36,23,12,7,1
15,17,34,16,6,0
29,35,26,29,15,0
1,46,9,47,7,0
4,11,37,6,13,0
4,2,29,0,28,0
27,35,23,22,28,0
1,31,26,33,14,1
24,16,39,41,1,0
30,51,38,44,10,0
16,0,38,58,30,0
3,3,12,26,19,1
10,26,16,5,29,0
23,3,14,19,23,0
22,44,35,41,18,0
25,9,30,18,4,0
30,15,40,22,1,0
5,44,39,26,16,0
22,0,20,5,16,0
1,29,1,45,17,1
13,21,5,32,1,1
5,23,7,21,5,1
1,55,13,28,25,0
12,34,31,2,2,0
25,30,16,34,19,0
14,33,20,34,30,0
14,51,18,12,7,0
21,17,34,36,24,0
20,35,7,53,18,0
20,30,2,16,26,0
28,43,25,45,12,0
11,26,24,11,16,1
26,24,2,14,3,0
12,1,20,48,17,1
15,38,6,37,16,1
1,20,9,5,10,1
23,27,16,12,21,0
26,12,12,22,5,0
25,40,18,7,6,0
18,51,24,27,22,0
10,36,1,27,3,1
24,31,5,53,0,0
14,29,0,33,28,0
12,30,28,0,29,0
2,47,39,57,4,0
21,3,6,3,6,0
10,55,40,34,24,0
29,50,21,2,2,0
15,39,39,60,7,0
15,39,29,1,26,0
17,14,28,12,29,0
4,29,31,8,11,0
19,30,35,2,17,0
7,18,39,25,18,0
21,50,29,52,3,0
20,51,4,57,17,0
7,49,37,48,28,0
13,37,0,28,30,0
18,0,35,28,11,0
7,9,37,1,27,0
19,16,9,40,19,1
6,43,14,49,11,1
25,32,34,1,16,0
1,5,32,31,4,0
26,44,26,27,23,0
16,26,7,17,22,0
24,34,40,3,26,0
16,2,20,42,21,0
24,52,4,0,21,0
26,51,37,38,0,0
14,3,15,20,1,1
13,5,8,14,1,1
24,19,31,29,0,0
4,7,9,21,20,1
16,41,20,46,27,0
30,33,9,6,9,0
6,22,16,18,3,1
8,45,26,53,28,0
28,8,13,23,9,0
26,39,1,13,12,0
30,8,40,52,24,0
6,35,9,51,25,0
29,16,23,57,28,0
18,41,24,18,27,0
24,16,25,14,25,0
24,8,16,40,25,0
14,44,21,42,3,1
24,40,32,44,18,0
7,37,17,25,16,1
3,16,37,30,16,0
17,20,30,10,17,1
12,6,13,4,23,0
2,10,16,27,7,1
29,13,14,1,8,0
16,13,2,12,1,1
25,45,31,8,14,0
26,45,13,46,9,0
25,41,0,28,4,0
11,28,26,3,19,1
15,10,24,51,12,0
27,18,18,44,28,0
11,52,26,31,10,0
5,27,2,17,17,1
12,21,24,25,2,1
28,47,32,20,12,0
8,18,32,45,6,0
9,37,24,57,6,0
12,40,3,58,12,0
24,45,33,32,11,0
11,46,36,22,16,0
8,18,6,49,7,1
29,39,15,52,6,0
9,37,31,32,19,0
10,32,39,49,15,0
17,40,15,10,27,0
15,15,8,41,20,1
16,55,7,23,12,0
1,28,1,38,9,1
7,2,37,55,21,0
30,10,37,2,27,0
26,14,36,54,28,0
30,0,28,37,23,0
1,16,30,13,27,0
18,35,26,36,17,1
5,43,25,3,20,1
17,3,19,37,2,1
6,4,24,49,10,1
26,35,28,34,15,0
14,40,10,30,12,1
6,21,24,60,11,0
30,24,6,53,30,0
21,21,7,57,10,0
0,13,26,9,14,1
1,20,37,33,1,0
22,39,14,51,25,0
14,55,8,21,28,0
23,48,1,16,24,0
12,36,7,17,26,0
15,13,18,55,28,0
9,20,18,35,27,0
10,32,8,39,24,0
29,4,19,26,8,0
20,8,3,57,14,0
7,13,25,46,18,1
21,8,40,3,12,0
10,26,2,4,24,0
19,16,30,31,17,1
21,1,39,53,3,0
6,19,27,58,14,0
13,2,5,15,30,0
10,23,26,41,19,1
12,36,17,20,16,1
22,24,25,30,1,0
29,21,1,3,28,0
7,6,39,9,15,0
12,18,10,56,29,0
2,46,24,0,21,0
3,16,12,41,15,1
22,37,7,21,4,0
5,13,4,43,6,1
9,43,21,27,9,1
30,18,21,45,21,0
3,51,25,39,11,0
7,32,4,16,7,1
19,21,23,35,12,1
20,12,14,53,8,0
21,50,3,1,17,0
23,21,8,25,25,0
18,27,4,40,16,1
2,40,17,51,24,0
28,40,8,37,4,0
21,52,39,37,9,0
13,11,17,40,19,1
27,17,20,44,19,0
13,23,6,39,7,1
22,48,27,25,11,0
16,26,2,32,16,1
2,47,29,45,7,0
7,9,36,24,30,0
3,10,25,24,8,1
11,50,29,8,5,0
1,27,26,16,8,1
20,46,14,36,3,0
8,46,28,17,10,0
10,55,40,38,7,0
26,17,9,18,10,0
15,38,38,8,11,0
28,24,12,6,16,0
24,31,14,25,9,0
12,25,1,4,20,1
9,26,38,15,30,0
16,24,37,35,19,0
8,33,21,20,29,0
12,13,26,14,17,1
9,43,20,59,20,0
25,7,13,16,17,0
14,25,31,24,26,0
20,36,34,41,3,0
6,29,37,45,17,0
17,28,8,23,20,1
15,13,2,40,10,1
16,31,2,44,10,1
13,26,10,40,30,0
9,36,6,40,18,1
11,53,16,13,6,0
13,46,3,8,23,0
17,34,10,28,16,1
7,31,12,7,5,1
25,15,27,30,18,0
11,0,3,12,17,1
1,13,40,50,2,0
25,8,22,17,6,0
30,18,0,43,11,0
18,1,13,59,23,0
11,30,33,29,17,0
25,31,18,14,24,0
23,51,23,38,0,0
2,5,31,24,6,0
15,52,34,22,29,0
11,9,26,50,25,0
6,31,25,35,20,1
0,8,31,17,22,0
28,20,35,35,0,0
12,44,1,12,16,1
16,11,4,45,8,1
12,34,34,53,3,0
7,39,36,40,11,0
20,22,2,47,27,0
25,33,20,2,17,0
4,15,31,37,2,0
13,11,9,24,30,0
1,27,32,60,7,0
28,13,21,19,9,0
26,47,19,15,29,0
0,33,26,51,5,0
19,1,37,11,12,0
13,21,30,9,16,1
5,4,13,41,28,0
28,24,31,36,23,0
18,0,1,25,9,1
0,27,32,48,3,0
8,39,19,9,18,1
23,23,0,59,18,0
2,10,19,54,7,0
14,3,11,1,0,1
24,49,12,23,20,0
16,2,16,45,26,0
21,47,0,60,8,0
11,22,9,60,0,0
13,11,2,4,21,0
1,48,10,9,26,0
27,40,23,22,27,0
7,50,27,18,23,0
1,27,28,5,1,1
17,41,19,24,23,0
10,10,24,18,12,1
26,46,7,38,30,0
24,15,3,5,21,0
14,34,40,21,11,0
2,33,19,14,9,1
1,15,18,25,19,1
16,31,39,18,17,0
24,22,16,11,25,0
10,46,23,9,13,0
29,21,35,20,13,0
3,8,32,46,3,0
12,26,40,17,21,0
30,17,38,12,2,0
14,23,8,49,20,1
12,5,14,2,16,1
6,46,7,23,21,0
27,20,33,10,26,0
19,37,35,44,19,0
0,53,1,33,23,0
26,17,21,21,19,0
8,45,30,38,3,1
27,13,2,32,26,0
26,19,37,40,21,0
2,48,40,0,29,0
21,25,15,30,27,0
11,14,37,29,14,0
15,54,5,22,3,0
13,14,37,41,28,0
22,38,4,27,29,0
26,3,36,4,4,0
15,37,29,23,16,1
28,8,39,56,15,0
23,44,39,26,12,0
3,16,21,25,8,1
19,47,26,33,29,0
17,38,27,29,19,1
23,28,25,7,16,0
16,1,34,2,11,0
12,46,31,54,6,0
24,9,17,22,10,0
28,12,27,11,29,0
22,26,22,12,14,0
17,32,25,0,0,1
9,25,10,37,16,1
26,16,37,32,6,0
9,38,16,38,5,1
5,1,35,44,10,0
11,11,39,47,9,0
30,24,40,24,14,0
27,6,36,1,26,0
12,54,29,7,18,0
29,30,22,54,28,0
6,23,31,22,8,0
27,43,14,54,12,0
29,29,3,35,0,0
19,14,9,59,10,0
23,6,16,27,14,0
17,18,17,52,13,0
12,15,22,31,22,0
22,24,4,46,22,0
25,1,6,32,26,0
22,18,25,47,2,0
15,13,1,15,1,1
7,29,1,26,30,0
22,50,26,8,30,0
25,26,37,2,15,0
4,23,34,39,0,0
29,48,21,33,22,0
17,6,40,24,5,0
10,54,7,29,23,0
7,14,5,31,2,1
3,43,21,60,0,0
0,36,0,4,16,1
30,25,33,40,27,0
6,27,4,9,0,1
7,18,1,27,14,1
11,43,20,14,2,1
25,26,0,13,16,0
12,8,34,1,21,0
3,36,7,29,7,1
29,27,5,44,3,0
5,6,11,20,12,1
5,46,17,1,23,0
20,46,4,52,28,0
14,24,34,45,10,0
24,32,21,31,0,0
29,54,26,18,21,0
20,22,28,49,30,0
2,47,30,43,18,0
7,33,32,48,20,0
10,1,31,48,30,0
14,25,0,4,3,1
21,44,26,29,27,0
7,28,23,39,26,0
11,32,18,54,1,0
28,51,10,28,25,0
23,22,2,18,30,0
30,42,30,7,0,0
9,40,39,19,13,0
14,11,34,53,29,0
15,19,11,56,15,0
14,15,27,31,11,1
4,53,31,29,2,0
12,0,22,35,1,1
9,18,39,2,17,0
13,17,22,23,8,1
30,0,23,50,0,0
22,42,28,27,14,0
6,49,2,30,16,0
0,55,2,23,19,0
3,50,39,36,15,0
30,50,29,34,17,0
1,0,14,45,28,0
11,23,3,52,2,0
